This test runs the WebGL Test listed below in an iframe and reports PASS or FAIL.

Test: ../../resources/webgl_test_files/conformance2/attribs/gl-vertex-attrib.html
[ 1: PASS ] context exists
[ 2: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 249: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 250: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 251: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 252: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 253: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 254: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 255: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 256: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 257: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 258: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 259: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 260: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 261: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 262: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 263: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 264: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 265: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 266: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 267: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 268: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 269: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 270: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 271: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 272: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 273: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 274: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 275: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 276: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 277: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 278: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 279: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 280: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 281: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 282: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 283: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 284: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 285: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 286: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 287: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 288: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 289: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 290: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 291: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 292: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 293: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 294: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 295: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 296: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 297: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 298: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 299: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 300: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 301: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 302: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 303: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 304: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 305: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 306: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 307: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 308: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 309: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 310: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 311: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 312: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 313: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 314: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 315: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 316: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 317: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 318: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 319: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 320: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 321: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 322: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 323: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 324: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 325: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 326: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 327: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 328: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 329: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 330: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 331: PASS ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 332: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 333: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 334: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 335: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 336: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 337: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 338: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 339: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 340: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 341: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 342: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 343: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 344: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 345: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 346: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 347: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 348: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 349: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 350: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 351: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 352: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 353: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 354: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 355: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 356: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 357: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 358: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 359: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 360: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 361: FAIL ] gl.getVertexAttrib(3, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 362: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 363: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 364: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 365: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 366: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 367: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 368: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 369: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 370: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 371: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 372: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 373: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 374: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 375: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 376: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 377: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 378: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 379: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 380: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 381: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 382: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 383: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 384: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 385: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 386: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 387: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 388: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 389: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 390: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 391: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 392: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 393: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 394: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 395: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 396: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 397: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 398: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 399: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 400: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 401: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 402: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 403: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 404: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 405: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 406: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 407: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 408: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 409: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 410: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 411: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 412: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 413: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 414: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 415: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 416: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 417: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 418: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 419: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 420: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 421: PASS ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 422: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 423: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 424: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 425: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 426: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 427: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 428: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 429: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 430: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 431: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 432: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 433: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 434: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 435: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 436: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 437: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 438: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 439: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 440: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 441: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 442: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 443: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 444: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 445: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 446: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 447: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 448: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 449: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 450: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 451: FAIL ] gl.getVertexAttrib(4, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 452: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 453: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 454: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 455: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 456: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 457: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 458: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 459: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 460: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 461: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 462: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 463: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 464: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 465: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 466: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 467: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 468: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 469: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 470: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 471: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 472: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 473: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 474: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 475: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 476: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 477: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 478: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 479: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 480: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 481: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 482: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 483: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 484: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 485: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 486: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 487: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 488: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 489: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 490: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 491: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 492: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 493: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 494: PASS ] gl.getVertexAttrib(5, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
